Have you been furloughed?,"Overall, are you finding being furloughed a positive experience?","That's great to hear, can you tell me why you're enjoying it?","Are you now working as part of a scaled back team, whilst your colleagues are furloughed?","Overall, are you finding being part of scaled-back, caretaker team a positive experience?","I'm sorry to hear that, can you tell me why it's not a positive experience?",Have you learned anything new about yourself?,What would help you most right now?,"That's really good to hear, why do you think that is?",Submitted At,Token
TRUE,TRUE,"I’m feel like I now have the time to invest in myself. I’m being more active, I’ve started a diary, I’m doing more house renovations - I felt, while I was still working full time, that I didn’t have the time or motivation to do any of those things.",,,,I enjoy being at home more than I thought.,,,4/5/2020 15:39:56,q7ygqc0wetve1pgq7998ef1l3h3ghomc
TRUE,TRUE,"I have lots of creative pursuits that I often don't have time for, so this is a really good opportunity for me to focus on those. It's also great to slow down though it is still hard to feel like you've lost a bit of purpose in the day to day.",,,,"I'm definitely obsessively productive! If I have a down day, which there have been a few, I'm really hard on myself. I like to be productive and proactive most of the time and don't allow myself days where I'm not like that. Also I'm pretty terrible at making soup.",,,4/5/2020 16:03:20,qsle0bp9xi6c9n0nic0qsle0ma3xovzq
TRUE,FALSE,,,,"Feeling very useless and often times even worthless. I'm childless and my husband is a key worker, so at times I am feeling very lonely and emotional. There are good days, when I focus on something and put my soul into it. Things I've not been able to do during work. There are bad days when I get updates at work and feel left out or vulnerable in that the business are functioning without me. It has been an emotional roller coaster full of anxiety.",,"Hmmm...good question. I've been asking myself that. I think finding a purpose or a project that makes me feel valued again would help. I've signed up to run my community's Covid-19 facebook page (it was stale, not informative and not functional) so that's a stsrt. Yes I can work on myself, learn a new language, etc....but I really need to feel part of a greater cause to get my mojo back.",,4/5/2020 18:55:11,ia3cphe6oj1358lw2hnmia3cphry4t6x
TRUE,TRUE,"I have more time to study, I am able to spend valuable time with my family and to get jobs done around the house that I never have time for",,,,"Yes I do need structure, so I have to plan each day. Even if it’s simple things like walk the dog or clean the bathroom. It keeps me focused I have found that to just do nothing affects my state of mind and I get down and sometimes tearful.",,,4/5/2020 21:16:39,d7x57388oj9pfzwzwod7x5738uex2vna
TRUE,TRUE,"Recently moved house so I am very busy. I am not sure how I would feel if I wasn’t busy.
I really miss my job and routine however",,,,I took things for granted and can be impatient. I need to learn to relax and take everything in my stride and be patient,,,4/6/2020 6:46:19,08h6epyvgp4h1722y08h6epy986gkfnt
TRUE,TRUE,"I'm looking at the positives, and this is bonus time that i that it's giving me time that I wouldn't usually have time for: jobs around the house, extra exercise, reading, signing up for a course.
It probably helps that I feel informed from HX about the work situation (as much as they can)",,,,Not as yet,,,4/6/2020 6:58:42,bamyisxeo4bm3islq7tbamy45g3jnlm9
TRUE,FALSE,,,,I feel without purpose. Disappointed not to be useful enough to keep. Also it’s daunting with no end date to all of this.,,"Something real to focus on, something to dampen my anxiety.",,4/6/2020 7:17:28,k65zamkqx4hd9npk65s5r6llry7m2a4d
TRUE,TRUE,I’m able to stay safe and keep others safe. Given the situation it’s positive.,,,,Not yet.,,,4/6/2020 7:23:54,c6rou9o4gn9dj4kkkc6rc0xoy8kzrq11
FALSE,,,TRUE,TRUE,,,,I feel kept in the loop with all areas of the caretaker team. There is full transparency across the leadership team and Im getting all the support I need,4/6/2020 7:26:42,38ngqogsgcz9yf21zkn38ngqo5a0d5tt
TRUE,TRUE,"Although I have rated this as a positive experience I would like to add that I am still very concerned for our families health, especially our parents as some fall into the vulnerable category.   Both myself and my husband are concerned for our employers and jobs etc too.  But aside from this I am really enjoying being home, I am lucky to have a lovely garden which now looks so neat and tidy, I have planted seeds, made bread, all sorts of cakes and completed chores that I never get around to doing!  My stress levels have disappeared and I am generally happier with not having to rush everywhere trying to cram everything into a short space of time.  It has also helped that we have had amazing weather of course :)",,,,"I don't think so, I still get up early and make sure I do things each day as I like to feel I have achieved something, instead of wasting the day.  And let's just say that I am definitely the more organised one out of myself and my husband!",,,4/6/2020 7:40:54,ejhvk5xnm7n10kk7ejhvxk11nmxgzvh2
FALSE,,,TRUE,TRUE,,,,Have purpose and am making a difference,4/6/2020 7:58:25,vy3xvdok30la8evvy38vtocv8aziyybj
TRUE,TRUE,I have two young children so being able to 100% concentrate on them is very important,,,,"I have learnt to appreciate the small things again, i.e. wildlife, walking and appreciating the countryside. Realising you don't need to spend a lot of money to make lasting memories",,,4/6/2020 8:04:16,lrsee2rl8cqezyvhnlrsee26et86d5ww
TRUE,TRUE,"The best part is spending all this time with my children!  I hadn't really noticed or appreciated until this week what beautiful, curious, loving & funny young people they are growing into.  I'm so grateful for this time I have with them & we have our health too.",,,,I've learnt to slow down!  No need to do everything at 100 miles an hour and love it,,,4/6/2020 8:13:10,3dmktgd72ys54h8k93dmkj1dsv9ui1xl
TRUE,TRUE,"Being able to spend more time as a family, whilst having the peace of mind that my role in the business is still secure and financially I am still earning",,,,I have learnt how to slow down and appreciate the small things in life more!,,,4/6/2020 8:12:37,t4ukoafq8kbndgt4ukr4noj81455or49
TRUE,FALSE,,,,"Uncertainty, lack of routine and purpose",,Something to help give me purpose,,4/6/2020 8:28:10,yarbka7gdvbfpnufyarl107hyox3f4dc
TRUE,FALSE,,,,"I miss working, day to day interactions with people and feeling that I am doing something useful.  It is also a great distraction, when you don't have that distraction all you have are your thoughts, which are not always positive.",,"I am going to try and see if i can get a second job whilst on furlough or volunteer, it is more tricky as I have youngish children.",,4/6/2020 8:55:44,cez4n2ji6xhuugapbcez4n7131ndsvxm
TRUE,TRUE,"More quality time for life, family, home improvements, self care",,,,"Not yet, feels more like a healthy life reset at this point",,,4/6/2020 9:13:08,l3vw0olsd75uawauivl35hewpn0vylez
